Episode 1, Total reward: 4.7, Mean loss: -inf, Epsilon: 0.995
Episode 10, Total reward: 3.4000000000000004, Mean loss: 0.07422148402441632, Epsilon: 0.951
Episode 11, Total reward: 2.3000000000000003, Mean loss: 0.07427119565281001, Epsilon: 0.946
Episode 12, Total reward: 5.6, Mean loss: 0.06416535896382161, Epsilon: 0.942
Episode 13, Total reward: 2.6000000000000005, Mean loss: 0.06282977440527507, Epsilon: 0.937
Episode 14, Total reward: 2.7000000000000006, Mean loss: 0.0608572144806385, Epsilon: 0.932
Episode 15, Total reward: 2.3, Mean loss: 0.05905673294686354, Epsilon: 0.928
Episode 16, Total reward: 4.1, Mean loss: 0.05662308650260622, Epsilon: 0.923
Episode 17, Total reward: 3.5, Mean loss: 0.05628852875759968, Epsilon: 0.918
Episode 18, Total reward: 2.1, Mean loss: 0.051657148237739293, Epsilon: 0.914
Episode 19, Total reward: 4.1000000000000005, Mean loss: 0.05430602611830601, Epsilon: 0.909
Episode 20, Total reward: 6.699999999999999, Mean loss: 0.05316198590610709, Epsilon: 0.905
Episode 21, Total reward: 2.8000000000000003, Mean loss: 0.056176903968056045, Epsilon: 0.900
Episode 22, Total reward: 5.100000000000001, Mean loss: 0.05361365071601338, Epsilon: 0.896
Episode 23, Total reward: 4.2, Mean loss: 0.054307516664266586, Epsilon: 0.891
Episode 24, Total reward: 7.4, Mean loss: 0.0537681519985199, Epsilon: 0.887
Episode 25, Total reward: 5.6, Mean loss: 0.053899168192098536, Epsilon: 0.882
Episode 26, Total reward: 11.499999999999996, Mean loss: 0.05286296344164646, Epsilon: 0.878
Episode 27, Total reward: 2.2, Mean loss: 0.05183109215327671, Epsilon: 0.873
Episode 28, Total reward: 3.1, Mean loss: 0.050380113619295036, Epsilon: 0.869
Episode 29, Total reward: 3.500000000000001, Mean loss: 0.05153032839298248, Epsilon: 0.865
Episode 30, Total reward: 3.3000000000000003, Mean loss: 0.052678311162668724, Epsilon: 0.860
Episode 31, Total reward: 5.6, Mean loss: 0.04980553850531578, Epsilon: 0.856
Episode 32, Total reward: 3.4, Mean loss: 0.04880916293371807, Epsilon: 0.852
Episode 33, Total reward: 3.0000000000000004, Mean loss: 0.04749904510875543, Epsilon: 0.848
Episode 34, Total reward: 7.300000000000001, Mean loss: 0.04721292267952647, Epsilon: 0.843
Episode 35, Total reward: 3.9000000000000004, Mean loss: 0.050719662641103454, Epsilon: 0.839
Episode 36, Total reward: 4.800000000000001, Mean loss: 0.04999554042632763, Epsilon: 0.835
Episode 37, Total reward: 1.1, Mean loss: 0.0531906770542264, Epsilon: 0.831
Episode 38, Total reward: 3.4000000000000004, Mean loss: 0.05269414321942763, Epsilon: 0.827
Episode 39, Total reward: 13.899999999999999, Mean loss: 0.05067572237716781, Epsilon: 0.822
Episode 40, Total reward: 1.5000000000000002, Mean loss: 0.05391592363064939, Epsilon: 0.818
Episode 41, Total reward: 4.0, Mean loss: 0.0530573306200297, Epsilon: 0.814
Episode 42, Total reward: 1.5000000000000002, Mean loss: 0.05531776063144207, Epsilon: 0.810
Episode 43, Total reward: 5.6000000000000005, Mean loss: 0.054777951152236375, Epsilon: 0.806
Episode 44, Total reward: 2.8000000000000003, Mean loss: 0.05216985304529468, Epsilon: 0.802
Episode 45, Total reward: 3.8000000000000003, Mean loss: 0.05451376146326462, Epsilon: 0.798
Episode 46, Total reward: 7.8, Mean loss: 0.056111263772172314, Epsilon: 0.794
Episode 47, Total reward: 1.1, Mean loss: 0.054476138204336166, Epsilon: 0.790
Episode 48, Total reward: 2.8, Mean loss: 0.054545016451315445, Epsilon: 0.786
Episode 49, Total reward: 4.800000000000001, Mean loss: 0.05284882353051849, Epsilon: 0.782
Episode 50, Total reward: 3.2000000000000006, Mean loss: 0.05649295906451615, Epsilon: 0.778
Episode 51, Total reward: 3.6000000000000005, Mean loss: 0.054970593880052154, Epsilon: 0.774
Episode 52, Total reward: 3.9, Mean loss: 0.056877090595662594, Epsilon: 0.771
Episode 53, Total reward: 4.3, Mean loss: 0.05644254669547081, Epsilon: 0.767
Episode 54, Total reward: 0.9, Mean loss: 0.0574407773939046, Epsilon: 0.763
Episode 55, Total reward: 2.5, Mean loss: 0.05807335255667567, Epsilon: 0.759
Episode 56, Total reward: 4.5, Mean loss: 0.0554257076806747, Epsilon: 0.755
Episode 1, Total reward: 9.7, Mean loss: -inf, Epsilon: 0.990
Episode 2, Total reward: 2.8, Mean loss: -inf, Epsilon: 0.980
Episode 3, Total reward: 1.9000000000000004, Mean loss: 0.026068627089262008, Epsilon: 0.970
Episode 4, Total reward: 5.300000000000001, Mean loss: 0.013527087025487652, Epsilon: 0.961
Episode 5, Total reward: 6.0, Mean loss: 0.01159959118480661, Epsilon: 0.951
Episode 6, Total reward: 4.3, Mean loss: 0.01628426833000655, Epsilon: 0.941
Episode 7, Total reward: 1.4, Mean loss: 0.010973136546090246, Epsilon: 0.932
Episode 8, Total reward: 3.0, Mean loss: 0.017992341089993716, Epsilon: 0.923
Episode 9, Total reward: 6.4, Mean loss: 0.03400219679595186, Epsilon: 0.914
Episode 10, Total reward: 4.7, Mean loss: 0.027971325293183327, Epsilon: 0.904
Episode 11, Total reward: 4.4, Mean loss: 0.03855999924529057, Epsilon: 0.895
Episode 12, Total reward: 2.1, Mean loss: 0.06518490337544963, Epsilon: 0.886
Episode 13, Total reward: 5.699999999999999, Mean loss: 0.06910015685627094, Epsilon: 0.878
Episode 14, Total reward: 2.6000000000000005, Mean loss: 0.07896665321744006, Epsilon: 0.869
Episode 15, Total reward: 1.3000000000000003, Mean loss: 0.12645677565818741, Epsilon: 0.860
Episode 16, Total reward: 2.8000000000000003, Mean loss: 0.1728775159496328, Epsilon: 0.851
Episode 17, Total reward: 2.0, Mean loss: 0.2668144855648279, Epsilon: 0.843
Episode 18, Total reward: 7.8, Mean loss: 0.31782302792583195, Epsilon: 0.835
Episode 19, Total reward: 3.6000000000000005, Mean loss: 0.489477364913277, Epsilon: 0.826
Episode 20, Total reward: 7.099999999999998, Mean loss: 1.016406745746218, Epsilon: 0.818
Episode 21, Total reward: 2.7, Mean loss: 1.268563711643219, Epsilon: 0.810
Episode 22, Total reward: 0.6000000000000001, Mean loss: 1.3919655919075011, Epsilon: 0.802
Episode 23, Total reward: 2.1, Mean loss: 1.9265217440468925, Epsilon: 0.794
Episode 1, Total reward: 2.7, Mean loss: -inf, Epsilon: 0.990
Episode 2, Total reward: 13.899999999999999, Mean loss: -inf, Epsilon: 0.980
Episode 3, Total reward: 3.2, Mean loss: 0.030973897832963202, Epsilon: 0.970
Episode 4, Total reward: 16.7, Mean loss: 0.02135310844020095, Epsilon: 0.961
Episode 5, Total reward: 6.000000000000001, Mean loss: 0.03109885966060338, Epsilon: 0.951
Episode 6, Total reward: 5.3999999999999995, Mean loss: 0.033053191288584666, Epsilon: 0.941
Episode 7, Total reward: 2.3000000000000003, Mean loss: 0.030099145602434874, Epsilon: 0.932
Episode 8, Total reward: 4.1000000000000005, Mean loss: 0.04334411537274718, Epsilon: 0.923
Episode 9, Total reward: 1.8000000000000003, Mean loss: 0.06983548328280449, Epsilon: 0.914
Episode 10, Total reward: 6.4, Mean loss: 0.08715812627586626, Epsilon: 0.904
Episode 11, Total reward: 3.6000000000000005, Mean loss: 0.1184447028208524, Epsilon: 0.895
Episode 12, Total reward: 2.1, Mean loss: 0.19507040260803132, Epsilon: 0.886
Episode 13, Total reward: 1.7999999999999998, Mean loss: 0.4812225749095281, Epsilon: 0.878
Episode 14, Total reward: 10.6, Mean loss: 0.788884681874308, Epsilon: 0.869
Episode 15, Total reward: 2.4000000000000004, Mean loss: 1.8635236166772389, Epsilon: 0.860
Episode 16, Total reward: 4.5, Mean loss: 2.7927847642164965, Epsilon: 0.851
Episode 17, Total reward: 2.900000000000001, Mean loss: 4.3535551261901855, Epsilon: 0.843
Episode 18, Total reward: 2.2, Mean loss: 11.20923156539599, Epsilon: 0.835
Episode 19, Total reward: 4.4, Mean loss: 15.965284326802129, Epsilon: 0.826
Episode 20, Total reward: 8.0, Mean loss: 22.583610568727767, Epsilon: 0.818
Episode 21, Total reward: 2.6, Mean loss: 63.40585633982783, Epsilon: 0.810
Episode 1, Total reward: 5.500000000000001, Mean loss: -inf, Epsilon: 0.990
Episode 2, Total reward: 2.4000000000000004, Mean loss: -inf, Epsilon: 0.980
Episode 3, Total reward: 2.7000000000000006, Mean loss: 0.02347761462442577, Epsilon: 0.970
Episode 4, Total reward: 11.0, Mean loss: 0.010341883806342428, Epsilon: 0.961
